Name(ENG),Name(KOR),Code,Type,Rarity,Recipe,Drop,Stat,Image Name
Frost Petal Hand,빙화현옥수,FHA,Glove,Epic,PGL+ICE,,"공격력 + 27,쿨타임 감소 + 15%,스킬 증폭 + 38,",Frost Petal Hand.png
Buddha's Palm,여래수투,BPA,Glove,Epic,PGL+BSA,,"공격력 + 33,쿨타임 감소 + 10%,스킬 증폭 + 18%,",Buddha_s Palm.png
Brasil Gauntlet,브레이질 건틀릿,BGA,Glove,Epic,BGU+OLC,,"공격력 + 42,방어력 + 13,체력 재생 + 1,공격 속도(%) + 30%,이동 속도 - 0.1,",Brasil Gauntlet.png
White Claw Punch,소수,WPU,Glove,Epic,GKN+WPW,,"공격력 + 55,치명타 확률 + 25%,",White Claw Punch.png
Imperial Silk Glove,천잠장갑,IGL,Glove,Epic,MIS+LGL,,"공격력 + 85,이동 속도 + 0.2,",Imperial Silk Glove.png
Bamboo,대나무,BAM,Tonfa,Common,,"PN 7,TP 7,AR 6,CM 7,FR 7",공격력 +12,Bamboo.png
Tonfa,톤파,TNF,Tonfa,Uncommon,BAM+BRA,,"공격력 +23,방어력 +8,",Tonfa.png
Police Baton,경찰봉,PBA,Tonfa,Rare,TNF+STM,,"공격력 +35,방어력 +8,",Police Baton.png
Ryukyu Tonfa,류큐톤파,RTF,Tonfa,Rare,TNF+WPW,,"공격력 +38,방어력 +18,",Ryukyu Tonfa.png
Tactical Tonfa,택티컬 톤파,TTF,Tonfa,Epic,PBA+BPR,,"공격력 + 60,방어력 + 10,생명력 흡수 + 20%,",Tactical Tonfa.png
Mai Sok,마이쏙,MSO,Tonfa,Epic,RTF+SRO,,"공격력 + 45,방어력 + 20,체력 재생 +100%,",Mai Sok.png
Plasma Tonfa,플라즈마 톤파,PTF,Tonfa,Epic,RTF+LAS,,"공격력 + 65,방어력 + 18,시야 + 2.5,",Plasma Tonfa.png
Starter Guitar,보급형 기타,SGU,Guitar,Common,,,공격력 +5,Starter Guitar.png
Golden Bridge,골든 브릿지,GBG,Guitar,Uncommon,SGU+GLD,,"공격력 +8,스킬 증폭 +14%,",Golden Bridge.png
Single Coil Pickup,싱글 픽업,SPI,Guitar,Uncommon,SGU+DBA,,"공격력 +8,공격 속도 +15%,기본 공격 추가 피해 +2,",Single Coil Pickup.png
Ruby Special,루비 스페셜,RSP,Guitar,Rare,SPI+RBY,,"공격력 +20,최대 체력 +300,공격 속도 +20%,기본 공격 추가 피해 +2,",Ruby Special.png
Humbucker Pickup,험버커 픽업,HPI,Guitar,Rare,GBG+SSC,,"공격력 +25,시야 +3,스킬 증폭 +15%,",Humbucker Pickup.png
King-V,King-V,KIV,Guitar,Rare,GBG+SCI,,"공격력 +13,스킬 증폭 +16%,",King-V.png
Nocaster,노캐스터,NOC,Guitar,Rare,SPI+BPR,,"공격력 +15,공격 속도 +20%,생명력 흡수 +10%,기본 공격 추가 피해 +15,",Nocaster.png
Superstrat,슈퍼스트랫,SUP,Guitar,Rare,SPI+BAM,,"공격력 +19,공격 속도 +15%, 기본 공격 추가 피해 +2,",Superstrat.png
Wild Horse,야생마,WHO,Guitar,Rare,SPI+OIL,,"공격력 +9,공격 속도 +25%, 기본 공격 추가 피해 +6,",Wild Horse.png
Bohemian,보헤미안,BHM,Guitar,Epic,RSP+PCA,,"공격력 + 50,최대 체력 + 380,공격 속도 + 20%,치명타 확률 + 20%,기본 공격 추가 피해 + 2,",Bohemian.png
Stairway to Heaven,천국의 계단,STH,Guitar,Epic,HPI+HGR,,"공격력 + 52,체력 재생 +200%,스킬 증폭 + 20%,시야 + 4,",Stairway to Heaven.png
Purple Haze,퍼플 헤이즈,PHA,Guitar,Epic,KIV+ASH,,"공격력 + 85,스킬 증폭 + 22%,",Purple Haze.png
Satisfaction,새티스팩션,SAT,Guitar,Epic,NOC+STN,,"공격력 +30,공격 속도 +30%,생명력 흡수 + 10%,기본 공격 추가 피해 + 14,",Satisfaction.png
Wonderful Tonight,원더풀 투나잇,WTO,Guitar,Epic,SUP+MET,,"공격력 + 100,공격 속도 + 45%,기본 공격 추가 피해 + 2,",Wonderful Tonight.png
The Wall,더 월,TWA,Guitar,Epic,SUP+WPW,,"공격력 + 70,공격 속도 + 18%,기본 공격 추가 피해 + 2,",The Wall.png
Teen Spirit,틴 스피릿,TSP,Guitar,Epic,WHO+BSA,,"공격력 +10,공격 속도 +25%,기본 공격 추가 피해 +23,",Teen Spirit.png
Steel Chain,쇠사슬,STC,Nunchaku,Common,,"BC 6,AL 6,CM 7",공격력 +11,Steel Chain.png
Nunchaku,눈차크,NUN,Nunchaku,Uncommon,STC+SCM,,공격력 +27,Nunchaku.png
Sharper,샤퍼,SHP,Nunchaku,Rare,NUN+NAI,,"공격력 +19,스킬 적중 시 치유 감소 -40%",Sharper.png
Bleeder,블리더,BLE,Nunchaku,Rare,NUN+RAZ,,공격력 +38,Bleeder.png
The Smiting Dragon,대소반룡곤,TDR,Nunchaku,Epic,SHP+ASH,,"공격력 + 50,스킬 증폭 +14,스킬 적중 시 치유 감소 -40%,",The Smiting Dragon.png
Vibro Nunchaku,초진동눈차크,VNU,Nunchaku,Epic,BLE+MOT,,"공격력 + 65,공격 속도 + 50%,",Vibro Nunchaku.png
Windbreaker,바람막이,WIN,Chest,Common,,"UT 6,HT 7,SC 7","최대 체력 +50,기본 공격 피해 감소 +3,",Windbreaker.png
Monk's Robe,승복,MRO,Chest,Common,,"TP 9,AR 5","방어력 +5,쿨타임 감소 +5%,",Monk_s Robe.png
Deleted1,의사가운,DEL,Deleted,Common,,,,Deleted1.png
Wetsuit,전신 수영복,WET,Chest,Common,,"DK 7,BC 6, AL 7","방어력 +1,스킬 피해 감소 +5%,",Wetsuit.png
Fabric Armor,천 갑옷,FAR,Chest,Common,,"TP 8,AR 6,CM 7",방어력 +11,Fabric Armor.png
Leather Armor,가죽 갑옷,LAR,Chest,Uncommon,FAR+LEA,,"방어력 +22,",Leather Armor.png
Leather Jacket,가죽 자켓,LJA,Chest,Uncommon,WIN+LEA,,"방어력 +8,최대 체력 +70,기본 공격 피해 감소 +6,",Leather Jacket.png
Turtle Dobok,거북 도복,TDO,Chest,Uncommon,MRO+TTS,,"방어력 +10,쿨타임 감소 +10%,",Turtle Dobok.png
Military Suit,군복,MSU,Chest,Uncommon,WIN+BRA,,"최대 체력 +50,기본 공격 피해 감소 +10,",Military Suit.png
Patched Robe,덧댄 로브,PRO,Chest,Uncommon,MRO+BAN,,"방어력 +5,체력 재생 +1,쿨타임 감소 +7%,",Patched Robe.png
Dress,드레스,DRE,Chest,Uncommon,CLO+SCI,,"공격력 +8, 방어력 +8, 스태미너 재생 +100,",Dress.png
Bikini,비키니,BIK,Chest,Uncommon,WET+SCI,,"방어력 +4,스킬 피해 감소 +11%,",Bikini.png
Diving Suit,잠수복,DSU,Chest,Uncommon,WET+RUB,,"방어력 +9,스킬 피해 감소 +10%,",Diving Suit.png
Rider Jacket,라이더 자켓,RDJ,Chest,Rare,LJA+STC,,"방어력 +11,최대 체력 +70,기본 공격 피해 감소 +9,",Rider Jacket.png
Chain Armor,사슬 갑옷,CNA,Chest,Rare,LAR+STC,,"방어력 +30,",Chain Armor.png
Suit,정장,SUI,Chest,Rare,MSU+RIB,,"생명력 흡수 +5%,기본 공격 피해 감소 +12,",Suit.png
Qipao,치파오,QIP,Chest,Rare,DRE+RAZ,,"공격력 +10,방어력 +10,스태미너 재생 +150%,",Qipao.png
Sheet Metal Armor,판금 갑옷,SMA,Chest,Rare,FAR+STE,,"방어력 +38,최대 체력 +100,이동 속도 -0.1,",Sheet Metal Armor.png
Hanbok,한복,HAN,Chest,Rare,PRO+FLO,,"방어력 +5,체력 재생 +1,쿨타임 감소 +15%,",Hanbok.png
Bulletproof Vest,방탄조끼,BVE,Chest,Rare,MSU+ISH,,"방어력 +10,최대 체력 +130,기본 공격 피해 감소 +10,",Bulletproof Vest.png
Sunset Armor,석양의 갑옷,SSA,Chest,Rare,LAR+LEA,,"방어력 +28,최대 체력 +450,",Sunset Armor.png
Covert Agent Uniform,어사의,CAU,Chest,Rare,HAN+STM,,"방어력 +23,체력 재생 +2.5,쿨타임 감소 +15%,",Covert Agent Uniform.png
Optical Camouflage Suit,광학미채 슈트,OSU,Chest,Epic,DSU+GLP,,"공격력 +10,방어력 + 20,치명타 확률 +22%,스킬 피해 감소 +10%,",Optical Camouflage Suit.png
Rocker's Jacket,락커의 자켓,RKJ,Chest,Epic,RDJ+CCR,,"공격력 +30,방어력 + 11,기본 공격 피해 감소 + 15,비전투중 이동 속도 + 0.3,스킬 적중 시 치유 감소 -40%,",Rocker_s Jacket.png
Mithril Armor,미스릴 갑옷,MAR,Chest,Epic,LAR+MIT,,"방어력 + 65,공격 속도 + 12%,이동 속도 + 0.2,",Mithril Armor.png
Crusader Armor,성기사의 갑옷,CRA,Chest,Epic,SMA+SRE,,"방어력 + 30,체력 재생 + 200%,기본 공격 추가 피해 + 20,이동 속도 - 0.1,",Crusader Armor.png
Amazoness Armor,아마조네스 아머,AZA,Chest,Epic,SMA+BIK,,"방어력 + 38,최대 체력 + 100,스킬 피해 감소 + 20%,",Amazoness Armor.png
Dragon Dobok,용의 도복,DDO,Chest,Epic,QIP+TDO,,"방어력 + 10,공격력 +15,스태미너 재생 + 150%,쿨타임 감소 +10%,기본 공격 사거리 + 1",Dragon Dobok.png
Commander's Armor,지휘관의 갑옷,CMA,Chest,Epic,CNA+GLD,,"방어력 + 20,스킬 증폭 + 16%,",Commander_s Armor.png
Butler's Suit,집사복,BLS,Chest,Epic,SUI+FDU,,"공격력 + 30,기본 공격 피해 감소 +10,이동 속도 + 0.1,생명력 흡수 + 20%,",Butler_s Suit.png
Battle Suit,배틀 슈트,BTS,Chest,Epic,BVE+DSU,,"방어력 + 25,최대 체력 +140,기본 공격 피해 감소 +12,스킬 피해 감소 +12%,",Battle Suit.png
EOD Suit,EOD 슈트,EOS,Chest,Epic,BVE+PRO,,"방어력 + 15,최대 체력 + 300,기본 공격 피해 감소 + 10,체력 재생 +1,쿨타임 감소 +10%,",EOD Suit.png
Blazing Dress,불꽃 드레스,BDR,Chest,Legendary,TFI+DRE,,"방어력 + 25,스태미너 재생 + 75%,스태미너 재생 +3,체력 재생 +2.5,기본 공격 추가 피해 +22",Blazing Dress.png
Kabana,카바나,KAB,Chest,Legendary,CMA+MET,,"방어력 + 36,스킬 증폭 + 18%,",Kabana.png
Queen of Hearts,퀸 오브 하트,QOH,Chest,Legendary,VBS+HAN,,"방어력 + 45,체력 재생 + 3,쿨타임 감소 + 25%,",Queen of Hearts.png
Hairband,머리띠,HAI,Head,Common,,"AV 7,TP 7,CM 7","방어력 +4,최대 스태미너 +130",Hairband.png
Hat,모자,HAT,Head,Common,,"PN 7,AR 5,SC 6","방어력 +4,쿨타임 감소 +5%",Hat.png
Bike Helmet,자전거 헬멧,BKH,Head,Common,,"BC 6,CP 6,SC 6",최대 체력 +90,Bike Helmet.png
Mask,가면,MSK,Head,Uncommon,HAI+FEA,,"방어력 +10,최대 스태미너 +130,이동 속도 +0.08,",Mask.png
Circlet,머리테,CIR,Head,Uncommon,HAI+BRA,,"방어력 +14,최대 스태미너 +270,",Circlet.png
Beret,베레모,BER,Head,Uncommon,HAT+SCI,,"방어력 +5,최대 체력 +50,쿨타임 감소 +13%",Beret.png
Chain Coif,사슬 코이프,CCO,Head,Uncommon,HAT+STC,,"방어력 +14,쿨타임 감소 +10%,",Chain Coif.png
Safety Helmet,안전모,SHE,Head,Uncommon,BKH+STN,,"최대 체력 +210,",Safety Helmet.png
Close Helm,방탄모,CHE,Head,Rare,BER+BKH,,"방어력 +10,최대 체력 +90,쿨타임 감소 +13%,",Close Helm.png
Fire Helmet,소방 헬멧,FHE,Head,Rare,SHE+WAT,,"최대 체력 +280,",Fire Helmet.png
Tiara,티아라,TIA,Head,Rare,CIR+STM,,"방어력 +14,최대 스태미너+360,",Tiara.png
Crown,왕관,CRW,Head,Rare,CIR+GLD,,"방어력 +16,최대 스태미너 +360,스킬 증폭 +11%",Crown.png
Ballistic Helmet,투구,BAH,Head,Rare,MSK+CCO,,"방어력 + 20,최대 스태미너 + 130,이동 속도 + 0.1,쿨타임 감소 +10%,",Ballistic Helmet.png
Motorcycle Helmet,오토바이 헬멧,MOH,Head,Rare,FHE+BIN,,"공격력 + 10,최대 체력 + 300,시야 + 2.5,",Motorcycle Helmet.png
Mithril Helm,미스릴 투구,MIH,Head,Epic,MIT+CCO,,"방어력 + 38,공격 속도 + 12%,이동 속도 + 0.2,쿨타임 감소 + 15%,",Mithril Helm.png
Crystal Tiara,수정 티아라,CTI,Head,Epic,TIA+GPI,,"방어력 + 14,최대 스태미너 + 700,치명타 확률 + 22%,",Crystal Tiara.png
Tactical OPS Helmet,전술-OPS 헬멧,THE,Head,Epic,CHE+EPA,,"방어력 + 15,최대 체력 +120,공격 속도 + 20%,쿨타임 감소 + 15%,",Tactical OPS Helmet.png
Helm of Banneret,기사단장의 투구,HBA,Head,Epic,BAH+RUB,,"방어력 + 15,최대 스태미너 + 200,쿨타임 감소 + 10%,이동 속도 + 0.1,스킬 피해 감소 +11%",Helm of Banneret.png
Imperial Crown,제국왕관,ICR,Head,Epic,CRW+RBY,,"방어력 + 18,최대 체력 + 300,최대 스태미너 + 500,스킬 증폭 + 10%,",Imperial Crown.png
Imperial Burgonet,황실 부르고넷,IBU,Head,Epic,BAH+GLD,,"방어력 + 10,최대 스태미너 + 200,이동 속도 + 0.1,쿨타임 감소 + 10%,스킬 증폭 + 14%,",Imperial Burgonet.png
Chinese Opera Mask,변검,COM,Head,Epic,MSK+VBS,,"방어력 + 16,최대 스태미너 + 300,생명력 흡수 + 22%,이동 속도 + 0.1,비전투시 이동 속도 + 0.4,",Chinese Opera Mask.png
Laurel Wreath,월계관,LWR,Head,Legendary,TFI+CIR,,"방어력 + 18,최대 스태미너 + 580,체력 재생 + 1.5,스태미너 재생 + 2,기본 공격 추가 피해 + 15,",Laurel Wreath.png
Watch,손목시계,WCH,Arm,Common,,"UT 6,HT 6,AV 7",공격 속도 +10%,Watch.png
Bandage,붕대,BAN,Arm,Common,,"DK 7,HS 6,FT 6,SC 6",체력 재생 +0.8,Bandage.png
Deleted2,토시,DEL,Deleted,Common,,,,Deleted2.png
Bracelet,팔찌,BLT,Arm,Common,,"PN 7,UT 6,AL 6","최대 스태미너 +220,",Bracelet.png
Leather Shield,가죽 방패,LSH,Arm,Uncommon,TTS+LEA,,"공격력 +10,방어력 +10,",Leather Shield.png
Squad Leader Armband,분대장 완장,SLA,Arm,Uncommon,BAN+NEE,,"체력 재생 +1.5,치명타 피해량 +15%,",Squad Leader Armband.png
Bracer,브레이서,BCR,Arm,Uncommon,BAN+LEA,,"방어력 +13,체력 재생 +1,",Bracer.png
Sheath,검집,SHH,Arm,Rare,LEA+ISH,,"공격력 +18,기본 공격 피해 감소 +2,",Sheath.png
Golden Bracelet,금팔찌,GBL,Arm,Rare,BLT+GLD,,"최대 스태미너 +220,스킬 증폭 +12%,",Golden Bracelet.png
Bazuband,바주반드,BAZ,Arm,Rare,BCR+ISH,,"방어력 +25,기본 공격 피해 감소 +8,",Bazuband.png
Crimson Bracelet,진홍 팔찌,CBL,Arm,Rare,BLT+RBY,,"최대 체력 +200,최대 스태미너 +250,",Crimson Bracelet.png
Steel Shield,강철 방패,SSH,Arm,Rare,LSH+STE,,"공격력 +23,방어력 +25,이동 속도 -0.1,",Steel Shield.png
Cube Watch,큐브 워치,CWC,Arm,Rare,WCH+MST,,"방어력 + 27,공격 속도 + 50%,",Cube Watch.png
Sword Stopper,소드 스토퍼,SST,Arm,Epic,BAZ+NAI,,"방어력 + 26,기본 공격 피해 감소 + 11,기본 공격 시 치유 감소 -40%,",Sword Stopper.png
Draupnir,드라우프니르,DRA,Arm,Epic,GBL+BCR,,"방어력 + 10,최대 스태미너 + 240,체력 재생 + 1,스킬 증폭 + 15%,",Draupnir.png
Mithril Shield,미스릴 방패,MSH,Arm,Epic,LSH+MIT,,"공격력 + 30,방어력 + 30,공격 속도 + 12%,이동 속도 + 0.1,",Mithril Shield.png
Vital Sign Sensor,바이탈 센서,VSE,Arm,Epic,WCH+CEL,,"방어력 + 15,공격 속도 + 30%,",Vital Sign Sensor.png
Creed of the Knight,기사의 신조,CKN,Arm,Epic,SSH+SLA,,"공격력 + 30,방어력 + 25,체력 재생 + 1.5,치명타 피해량 + 25%,이동 속도 - 0.1,",Creed of the Knight.png
Sword of Shah Jahan,샤자한의 검집,SSJ,Arm,Epic,SHH+RBY,,"공격력 + 28,최대 체력 +350,기본 공격 피해 감소 +2,",Sword of Shah Jahan.png
Bracelet of Skadi,스카디의 팔찌,BSK,Arm,Legendary,GIC+CBL,,"최대 체력 + 200,최대 스태미너 + 250,스태미너 재생 + 2,체력 재생 + 2,스킬 증폭 + 20,",Bracelet of Skadi.png
Radar,레이더,RAD,Arm,Legendary,VSE+GLP,,"방어력 + 15,치명타 확률 + 20%,공격 속도 + 35%,",Radar.png
Auto-arms,오토-암즈,AAR,Arm,Legendary,BCR+FCO,,"공격력 + 40,방어력 + 40,체력 재생 + 1.5,",Auto-arms.png
Slippers,슬리퍼,SLP,Leg,Common,,"AV 7,HS 6,SC 7","스태미너 재생 +0.5,이동 속도 +0.04",Slippers.png
Running Shoes,운동화,RUS,Leg,Common,,"UT 6,AL 7,AR 5",이동 속도 +0.08,Running Shoes.png
Tights,타이즈,TIG,Leg,Common,,"AV 7,HS 6,FR 7","방어력 +5,이동 속도 +0.04,",Tights.png
Knee Pads,무릎 보호대,KPA,Leg,Uncommon,TIG+LEA,,"방어력 +8,이동 속도 +0.16,",Knee Pads.png
Chain Leggings,체인 레깅스,CLE,Leg,Uncommon,TIG+STC,,"방어력 +10,이동 속도 +0.14,",Chain Leggings.png
High Heels,하이힐,HHE,Leg,Uncommon,SLP+SCM,,"스태미너 재생 +0.8,이동 속도 +0.17,",High Heels.png
Heelys,힐리스,HEE,Leg,Uncommon,RUS+IBA,,"이동 속도 +0.12,비전투시 이동 속도 +0.2,",Heelys.png
Repaired Slippers,덧댄 슬리퍼,RSL,Leg,Uncommon,SLP+CLO,,"스태미너 재생 +0.5,스태미너 재생 +30%,이동 속도 +0.16,",Repaired Slippers.png
Boots,부츠,BOO,Leg,Rare,RUS+OLC,,"체력 재생 +0.6,공격 속도 +2%,이동 속도 +0.22,",Boots.png
Steel Knee Pads,강철 무릎 보호대,SNP,Leg,Rare,KPA+STE,,"방어력 +20,이동 속도 +0.24,",Steel Knee Pads.png
Maverick Runner,매버릭 러너,MRU,Leg,Rare,HEE+EPA,,"이동 속도 + 0.25,비전투중 이동 속도 + 0.5,공격 속도 + 15%,",Maverick Runner.png
Combat Boots,전투화,CBB,Leg,Rare,BOO+LEA,,"체력 재생 +0.6,공격 속도 +7%,이동 속도 +0.27,",Combat Boots.png
Killer Heels,킬힐,KHE,Leg,Rare,HHE+GPI,,"공격력 +5,스태미너 재생 +0.8,이동 속도 +0.16,치명타 확률 +10%,",Killer Heels.png
Straitjacket Sneakers,풍화륜,SSN,Leg,Rare,RSL+ASH,,"스태미너 재생 +0.7,스태미너 재생 +50%,이동 속도 + 0.35,스킬 증폭 + 10,",Straitjacket Sneakers.png
Feather Boots,경량화 부츠,FTB,Leg,Epic,CBB+FEA,,"체력 재생 + 1,공격 속도 + 30%,이동 속도 + 0.4,",Feather Boots.png
Mithril Boots,미스릴 부츠,MIB,Leg,Epic,MIT+CLE,,"방어력 + 22,공격 속도 + 12%,이동 속도 + 0.45,",Mithril Boots.png
Bucephalus,부케팔로스,BUC,Leg,Epic,KHE+CLE,,"공격력 + 5,방어력 + 5,치명타 확률 + 17%,이동 속도 + 0.3,스태미너 재생 + 1,",Bucephalus.png
White Rhinos,클링온 부츠,WRH,Leg,Epic,CBB+NAI,,"공격 속도 + 15%,이동 속도 + 0.35,체력 재생 + 0.7,기본 공격 시 치유 감소 -40%,",White Rhinos.png
EOD Boots,EOD 부츠,EOB,Leg,Legendary,BOO+SNP,,"방어력 + 23,이동 속도 +0.33,체력 재생 +1,",EOD Boots.png
Glacial Shoes,글레이셜 슈즈,GSH,Leg,Legendary,RSL+GIC,,"체력 재생 + 2,스태미너 재생 + 2,스태미너 재생 + 60%,이동 속도 + 0.15,비전투시 이동 속도 + 0.5,스킬 증폭 + 15,",Glacial Shoes.png
Boots of Hermes,헤르메스의 부츠,BOH,Leg,Legendary,FCO+HEE,,"방어력 + 40,이동 속도 + 0.4,비전투중 이동 속도 + 0.2,",Boots of Hermes.png
Red Shoes,분홍신,RES,Leg,Legendary,KHE+VBS,,"공격력 + 5,스태미너 재생 + 1,치명타 확률 + 10%,이동 속도 + 0.35,생명력 흡수 + 15%,",Red Shoes.png
Feather,깃털,FEA,Accessory,Common,,"HS 6,CM 7,FR 7",이동 속도 +0.08,Feather.png
Flower,꽃,FLO,Accessory,Common,,"PN 7,UT 7,CM 7,FR 7",쿨타임 감소 +9%,Flower.png
Ribbon,리본,RIB,Accessory,Common,,"PN 6,UT 7,SC 7","생명력 흡수 +5%,",Ribbon.png
Fan,부채,FAN,Accessory,Common,,"AV 7,FR 8,CP 6",스킬 증폭 +16,Fan.png
Buddhist Scripture,불경,BSC,Accessory,Common,,TP 8,"스킬 증폭 +7%,",Buddhist Scripture.png
Box,상자,BOX,Accessory,Common,,"DK 7,PN 7,CP 6",최대 체력 +90,Box.png
Holy Grail,성배,HGR,Accessory,Common,,CP 9,체력 재생 +120%,Holy Grail.png
Cross,십자가,CRS,Accessory,Common,,"AL 7,CP 9",기본 공격 추가 피해 +7,Cross.png
Binoculars,쌍안경,BIN,Accessory,Common,,"BC 6,AL 7,HT 6,FT 7","공격력 +2,시야 +1.5",Binoculars.png
Saint's Relic,성자의 유산,SRE,Accessory,Uncommon,CRS+HGR,,"체력 재생 +150%,기본 공격 추가 피해 +8,",Saint_s Relic.png
Flower of Fate,운명의 꽃,FFA,Accessory,Uncommon,FLO+PCA,,"치명타 확률 +13%,쿨타임 감소 +10%,",Flower of Fate.png
Glass Pieces,유리 조각,GPI,Accessory,Uncommon,GLB+STN,,"치명타 확률 +13%,",Glass Pieces.png
Doll,인형,DOL,Accessory,Uncommon,RIB+CLO,,"스태미너 재생 +100%,생명력 흡수 +11%,",Doll.png
Sniping Scope,저격 스코프,SSC,Accessory,Uncommon,LAS+BIN,,"공격력 +6,시야 +4,",Sniping Scope.png
Buddha Sarira,진신사리,BSA,Accessory,Uncommon,BSC+MRO,,"쿨타임 감소 +10%,스킬 증폭 +7%,",Buddha Sarira.png
Quiver,화살통,QUI,Accessory,Uncommon,LEA+BAM,,"공격 속도 +22%,",Quiver.png
Feather Duster,먼지털이개,FDU,Accessory,Uncommon,SRO+FEA,,"공격력 +9,이동 속도 +0.1,",Feather Duster.png
Gilded Quill Fan,군선,GFA,Accessory,Uncommon,FAN+NAI,,"스킬 증폭 +16,스킬 적중 시 치유 감소 -40%,",Gilded Quill Fan.png
White Crane Fan,백우선,WFA,Accessory,Rare,GFA+FEA,,"이동 속도 + 0.1,스킬 증폭 + 18,스킬 적중 시 치유 감소 -40%,",White Crane Fan.png
Powder of Life,생명의 가루,PLI,Accessory,Rare,TOL+STN,,"체력 재생 +1.5,스태미너 재생 +1.5",Powder of Life.png
Uchiwa,우치와,UCH,Accessory,Rare,DOL+FAN,,"스태미너 재생 + 100%,생명력 흡수 + 15%,스킬 증폭 + 21,",Uchiwa.png
Magazine,탄창,MAG,Accessory,Rare,BOX+ISH,,"최대 체력 + 350,기본 공격 피해 감소 + 6,",Magazine.png
Laced Quiver,궁기병의 화살통,LQU,Accessory,Rare,QUI+FDU,,"공격력 +10, 공격 속도 +25%, 이동 속도 +0.1",Laced Quiver.png
Moonlight Pendant,달빛 펜던트,MPE,Accessory,Rare,RIB+MST,,"공격력 + 20,생명력 흡수 + 20%,",Moonlight Pendant.png
Schrodinger's Box,슈뢰딩거의 상자,SCH,Accessory,Rare,BOX+POI,,"최대 체력 + 420,스킬 증폭 +7,",Schrodinger_s Box.png
Veritas Lux Mea,진리는 나의 빛,VME,Accessory,Rare,BSA+SRE,,"체력 재생 + 150%,쿨타임 감소 + 10%,기본 공격 추가 피해 + 12,스킬 증폭 + 8%,",Veritas Lux Mea.png
Glacial Ice,만년빙,GIC,Accessory,Epic,PLI+ICE,,"체력 재생 + 1.5,스태미너 재생 + 1.5,스킬 증폭 + 18,",Glacial Ice.png
True Samadhi Fire,삼매진화,TFI,Accessory,Epic,PLI+LIG,,"체력 재생 + 1.5,스태미너 재생 + 1.5,기본 공격 추가 피해 + 13,",True Samadhi Fire.png
Emerald Tablet,에메랄드 타블렛,ETA,Accessory,Legendary,FCO+FFA,,"공격력 + 10,방어력 + 10,치명타 확률 + 15%,쿨타임 감소 + 10%,",Emerald Tablet.png
Stone,돌멩이,STN,Material,Common,,채집,,Stone.png
Glass Bottle,유리병,GLB,Material,Common,,"DK 7,AV 7,CP 6",,Glass Bottle.png
Nail,못,NAI,Material,Common,,"AV 7,AR 6,FT 7",,Nail.png
Leather,가죽,LEA,Material,Common,,사냥,,Leather.png
Turtle Shell,거북이 등딱지,TTS,Material,Common,,"DK 7,PN 7,BC 6",,Turtle Shell.png
Rubber,고무,RUB,Material,Common,,"DK 8,AL 7,AR 5",,Rubber.png
Scrap Metal,고철,SCM,Material,Common,,"DK 8,HT 8,HS 6,FT 9",,Scrap Metal.png
Lighter,라이터,LIG,Material,Common,,"DK 8,AL 8,FT 8,SC 7",,Lighter.png
Laser Pointer,레이저 포인터,LAS,Material,Common,,"UT 6,HS 6,SC 6",,Laser Pointer.png
Stallion Medal,마패,STM,Material,Common,,"BC 6,AL 7,TP 7",,Stallion Medal.png
Battery,배터리,BAT,Material,Common,,"DK 7,AV 7,FT 9",,Battery.png
Alcohol,알코올,ALC,Material,Common,,"HS 4,FT 6,SC 5",,Alcohol.png
Oil,오일,OIL,Material,Common,,"UT 7,AV 7,AR 5,FT 7",,Oil.png
Cloth,옷감,CLO,Material,Common,,"HT 7,AV 7,TP 7",,Cloth.png
Gemstone,원석,GEM,Material,Common,,"PN 8,BC 7,TP 8,FR 8",,Gemstone.png
Glue,접착제,GLU,Material,Common,,"AL 7,HS 6,FT 7",,Glue.png
Paper,종이,PAP,Material,Common,,"TP 7,AR 5,CP 6",,Paper.png
Iron Ore,철광석,IRO,Material,Common,,"HT 7,CM 7,FR 7",,Iron Ore.png
Can,캔,CAN,Material,Common,,"BC 4,AV 6,SC 5",,Can.png
Gunpowder,화약,GUN,Material,Common,,"TP 7,AR 6,CM 7",,Gunpowder.png
Deleted2,고장난 노트북,DEL,Deleted,Common,,,,Deleted2.png
Steel,강철,STE,Material,Uncommon,SCM+IRO+2,,,Steel.png
Oilcloth,기름먹인 천,OLC,Material,Uncommon,OIL+BAN+2,,,Oilcloth.png
Heated Oil,뜨거운 오일,HOL,Material,Uncommon,OIL+LIG+3,,,Heated Oil.png
Ruby,루비,RBY,Material,Uncommon,GEM+HAM,,,Ruby.png
Dead Battery,방전 전지,DBT,Material,Uncommon,BAT+WAT+2,,,Dead Battery.png
White Powder,백색 가루,WPW,Material,Uncommon,CHL+STN,,,White Powder.png
Heated Stone,달궈진 돌멩이,HST,Material,Uncommon,STN+LIG+3,,,Heated Stone.png
Meteorite,운석,MET,Material,Uncommon,,사냥,,Meteorite.png
Ash,재,ASH,Material,Uncommon,PAP+LIG,,,Ash.png
Electronic Parts,전자 부품,EPA,Material,Uncommon,PWR+BAT,,,Electronic Parts.png
Blueprint,정교한 도면,BPR,Material,Uncommon,FPE+PAP,,,Blueprint.png
Iron Sheet,철판,ISH,Material,Uncommon,SCM+PAP+2,,,Iron Sheet.png
