Name(ENG),Name(KOR),Code,Type,Rarity,Recipe,Drop,Stat,Image Name
The Smiting Dragon,대소반룡곤,TDR,Nunchaku,Epic,SHP+ASH,,"AP +50,SA +14,HS -40%,",The Smiting Dragon.png
Vibro Nunchaku,초진동눈차크,VNU,Nunchaku,Epic,BLE+MOT,,"AP +65,AS +50%,",Vibro Nunchaku.png
Windbreaker,바람막이,WIN,Chest,Common,,"UT 6,HT 7,SC 7","MH +50,ND +3,",Windbreaker.png
Monk's Robe,승복,MRO,Chest,Common,,"TP 9,AR 5","DF +5,CR +5%,",Monk_s Robe.png
Deleted1,의사가운,DEL,Deleted,Common,,,,Deleted1.png
Wetsuit,전신 수영복,WET,Chest,Common,,"DK 7,BC 6, AL 7","DF +1,SD +5%,",Wetsuit.png
Fabric Armor,천 갑옷,FAR,Chest,Common,,"TP 8,AR 6,CM 7",DF +11,Fabric Armor.png
Leather Armor,가죽 갑옷,LAR,Chest,Uncommon,FAR+LEA,,"DF +22,",Leather Armor.png
Leather Jacket,가죽 자켓,LJA,Chest,Uncommon,WIN+LEA,,"DF +8,MH +70,ND +6,",Leather Jacket.png
Turtle Dobok,거북 도복,TDO,Chest,Uncommon,MRO+TTS,,"DF +10,CR +10%,",Turtle Dobok.png
Military Suit,군복,MSU,Chest,Uncommon,WIN+BRA,,"MH +50,ND +10,",Military Suit.png
Patched Robe,덧댄 로브,PRO,Chest,Uncommon,MRO+BAN,,"DF +5,HR +1,CR +7%,",Patched Robe.png
Dress,드레스,DRE,Chest,Uncommon,CLO+SCI,,"AP +8,DF +8,SR +100,",Dress.png
Bikini,비키니,BIK,Chest,Uncommon,WET+SCI,,"DF +4,SD +11%,",Bikini.png
Diving Suit,잠수복,DSU,Chest,Uncommon,WET+RUB,,"DF +9,SD +10%,",Diving Suit.png
Rider Jacket,라이더 자켓,RDJ,Chest,Rare,LJA+STC,,"DF +11,MH +70,ND +9,",Rider Jacket.png
Chain Armor,사슬 갑옷,CNA,Chest,Rare,LAR+STC,,"DF +30,",Chain Armor.png
Suit,정장,SUI,Chest,Rare,MSU+RIB,,"LS +5%,ND +12,",Suit.png
Qipao,치파오,QIP,Chest,Rare,DRE+RAZ,,"AP +10,DF +10,SR +150%,",Qipao.png
Sheet Metal Armor,판금 갑옷,SMA,Chest,Rare,FAR+STE,,"DF +38,MH +100,SP -0.1,",Sheet Metal Armor.png
Hanbok,한복,HAN,Chest,Rare,PRO+FLO,,"DF +5,HR +1,CR +15%,",Hanbok.png
Bulletproof Vest,방탄조끼,BVE,Chest,Rare,MSU+ISH,,"DF +10,MH +130,ND +10,",Bulletproof Vest.png
Sunset Armor,석양의 갑옷,SSA,Chest,Rare,LAR+LEA,,"DF +28,MH +450,",Sunset Armor.png
Covert Agent Uniform,어사의,CAU,Chest,Rare,HAN+STM,,"DF +23,HR +2.5,CR +15%,",Covert Agent Uniform.png
Optical Camouflage Suit,광학미채 슈트,OSU,Chest,Epic,DSU+GLP,,"AP +10,DF +20,CC +22%,SD +10%,",Optical Camouflage Suit.png
Rocker's Jacket,락커의 자켓,RKJ,Chest,Epic,RDJ+CCR,,"AP +30,DF +11,ND +15,SO +0.3,HS -40%,",Rocker_s Jacket.png
Mithril Armor,미스릴 갑옷,MAR,Chest,Epic,LAR+MIT,,"DF +65,AS +12%,SP +0.2,",Mithril Armor.png
Crusader Armor,성기사의 갑옷,CRA,Chest,Epic,SMA+SRE,,"DF +30,HR +200%,EN +20,SP -0.1,",Crusader Armor.png
Amazoness Armor,아마조네스 아머,AZA,Chest,Epic,SMA+BIK,,"DF +38,MH +100,SD +20%,",Amazoness Armor.png
Dragon Dobok,용의 도복,DDO,Chest,Epic,QIP+TDO,,"DF +10,AP +15,SR +150%,CR +10%,AR +1",Dragon Dobok.png
Commander's Armor,지휘관의 갑옷,CMA,Chest,Epic,CNA+GLD,,"DF +20,SA +16%,",Commander_s Armor.png
Butler's Suit,집사복,BLS,Chest,Epic,SUI+FDU,,"AP +30,ND +10,SP +0.1,LS +20%,",Butler_s Suit.png
Battle Suit,배틀 슈트,BTS,Chest,Epic,BVE+DSU,,"DF +25,MH +140,ND +12,SD +12%,",Battle Suit.png
EOD Suit,EOD 슈트,EOS,Chest,Epic,BVE+PRO,,"DF +15,MH +300,ND +10,HR +1,CR +10%,",EOD Suit.png
Blazing Dress,불꽃 드레스,BDR,Chest,Legendary,TFI+DRE,,"DF +25,SR +75%,SR +3,HR +2.5,EN +22",Blazing Dress.png
Kabana,카바나,KAB,Chest,Legendary,CMA+MET,,"DF +36,SA +18%,",Kabana.png
Queen of Hearts,퀸 오브 하트,QOH,Chest,Legendary,VBS+HAN,,"DF +45,HR +3,CR +25%,",Queen of Hearts.png
Hairband,머리띠,HAI,Head,Common,,"AV 7,TP 7,CM 7","DF +4,MS +130",Hairband.png
Hat,모자,HAT,Head,Common,,"PN 7,AR 5,SC 6","DF +4,CR +5%",Hat.png
Bike Helmet,자전거 헬멧,BKH,Head,Common,,"BC 6,CP 6,SC 6",MH +90,Bike Helmet.png
Mask,가면,MSK,Head,Uncommon,HAI+FEA,,"DF +10,MS +130,SP +0.08,",Mask.png
Circlet,머리테,CIR,Head,Uncommon,HAI+BRA,,"DF +14,MS +270,",Circlet.png
Beret,베레모,BER,Head,Uncommon,HAT+SCI,,"DF +5,MH +50,CR +13%",Beret.png
Chain Coif,사슬 코이프,CCO,Head,Uncommon,HAT+STC,,"DF +14,CR +10%,",Chain Coif.png
Safety Helmet,안전모,SHE,Head,Uncommon,BKH+STN,,"MH +210,",Safety Helmet.png
Ballistic Helmet,방탄모,BAH,Head,Rare,BER+BKH,,"DF +10,MH +90,CR +13%,",Close Helm.png
Fire Helmet,소방 헬멧,FHE,Head,Rare,SHE+WAT,,"MH +280,",Fire Helmet.png
Tiara,티아라,TIA,Head,Rare,CIR+STM,,"DF +14,MS+360,",Tiara.png
Crown,왕관,CRW,Head,Rare,CIR+GLD,,"DF +16,MS +360,SA +11%",Crown.png
Close Helm,투구,CHE,Head,Rare,MSK+CCO,,"DF +20,MS +130,SP +0.1,CR +10%,",Ballistic Helmet.png
Motorcycle Helmet,오토바이 헬멧,MOH,Head,Rare,FHE+BIN,,"AP +10,MH +300,VR +2.5,",Motorcycle Helmet.png
Mithril Helm,미스릴 투구,MIH,Head,Epic,MIT+CCO,,"DF +38,AS +12%,SP +0.2,CR +15%,",Mithril Helm.png
Crystal Tiara,수정 티아라,CTI,Head,Epic,TIA+GPI,,"DF +14,MS +700,CC +22%,",Crystal Tiara.png
Tactical OPS Helmet,전술-OPS 헬멧,THE,Head,Epic,BAH+EPA,,"DF +15,MH +120,AS +20%,CR +15%,",Tactical OPS Helmet.png
Helm of Banneret,기사단장의 투구,HBA,Head,Epic,CHE+RUB,,"DF +15,MS +200,CR +10%,SP +0.1,SD +11%",Helm of Banneret.png
Imperial Crown,제국왕관,ICR,Head,Epic,CRW+RBY,,"DF +18,MH +300,MS +500,SA +10%,",Imperial Crown.png
Imperial Burgonet,황실 부르고넷,IBU,Head,Epic,CHE+GLD,,"DF +10,MS +200,SP +0.1,CR +10%,SA +14%,",Imperial Burgonet.png
Chinese Opera Mask,변검,COM,Head,Epic,MSK+VBS,,"DF +16,MS +300,LS +22%,SP +0.1,SO +0.4,",Chinese Opera Mask.png
Laurel Wreath,월계관,LWR,Head,Legendary,TFI+CIR,,"DF +18,MS +580,HR +1.5,SR +2,EN +15,",Laurel Wreath.png
Watch,손목시계,WCH,Arm,Common,,"UT 6,HT 6,AV 7",AS +10%,Watch.png
Bandage,붕대,BAN,Arm,Common,,"DK 7,HS 6,FT 6,SC 6",HR +0.8,Bandage.png
Deleted2,토시,DEL,Deleted,Common,,,,Deleted2.png
Bracelet,팔찌,BLT,Arm,Common,,"PN 7,UT 6,AL 6","MS +220,",Bracelet.png
Leather Shield,가죽 방패,LSH,Arm,Uncommon,TTS+LEA,,"AP +10,DF +10,",Leather Shield.png
Squad Leader Armband,분대장 완장,SLA,Arm,Uncommon,BAN+NEE,,"HR +1.5,CD +15%,",Squad Leader Armband.png
Bracer,브레이서,BCR,Arm,Uncommon,BAN+LEA,,"DF +13,HR +1,",Bracer.png
Sheath,검집,SHH,Arm,Rare,LEA+ISH,,"AP +18,ND +2,",Sheath.png
Golden Bracelet,금팔찌,GBL,Arm,Rare,BLT+GLD,,"MS +220,SA +12%,",Golden Bracelet.png
Bazuband,바주반드,BAZ,Arm,Rare,BCR+ISH,,"DF +25,ND +8,",Bazuband.png
Crimson Bracelet,진홍 팔찌,CBL,Arm,Rare,BLT+RBY,,"MH +200,MS +250,",Crimson Bracelet.png
Steel Shield,강철 방패,SSH,Arm,Rare,LSH+STE,,"AP +23,DF +25,SP -0.1,",Steel Shield.png
Cube Watch,큐브 워치,CWC,Arm,Rare,WCH+MST,,"DF +27,AS +50%,",Cube Watch.png
Sword Stopper,소드 스토퍼,SST,Arm,Epic,BAZ+NAI,,"DF +26,ND +11,HN -40%,",Sword Stopper.png
Draupnir,드라우프니르,DRA,Arm,Epic,GBL+BCR,,"DF +10,MS +240,HR +1,SA +15%,",Draupnir.png
Mithril Shield,미스릴 방패,MSH,Arm,Epic,LSH+MIT,,"AP +30,DF +30,AS +12%,SP +0.1,",Mithril Shield.png
Vital Sign Sensor,바이탈 센서,VSE,Arm,Epic,WCH+CEL,,"DF +15,AS +30%,",Vital Sign Sensor.png
Creed of the Knight,기사의 신조,CKN,Arm,Epic,SSH+SLA,,"AP +30,DF +25,HR +1.5,CD +25%,SP -0.1,",Creed of the Knight.png
Sword of Shah Jahan,샤자한의 검집,SSJ,Arm,Epic,SHH+RBY,,"AP +28,MH +350,ND +2,",Sword of Shah Jahan.png
Bracelet of Skadi,스카디의 팔찌,BSK,Arm,Legendary,GIC+CBL,,"MH +200,MS +250,SR +2,HR +2,SA +20,",Bracelet of Skadi.png
Radar,레이더,RAD,Arm,Legendary,VSE+GLP,,"DF +15,CC +20%,AS +35%,",Radar.png
Auto-arms,오토-암즈,AAR,Arm,Legendary,BCR+FCO,,"AP +40,DF +40,HR +1.5,",Auto-arms.png
Slippers,슬리퍼,SLP,Leg,Common,,"AV 7,HS 6,SC 7","SR +0.5,SP +0.04",Slippers.png
Running Shoes,운동화,RUS,Leg,Common,,"UT 6,AL 7,AR 5",SP +0.08,Running Shoes.png
Tights,타이즈,TIG,Leg,Common,,"AV 7,HS 6,FR 7","DF +5,SP +0.04,",Tights.png
Knee Pads,무릎 보호대,KPA,Leg,Uncommon,TIG+LEA,,"DF +8,SP +0.16,",Knee Pads.png
Chain Leggings,체인 레깅스,CLE,Leg,Uncommon,TIG+STC,,"DF +10,SP +0.14,",Chain Leggings.png
High Heels,하이힐,HHE,Leg,Uncommon,SLP+SCM,,"SR +0.8,SP +0.17,",High Heels.png
Heelys,힐리스,HEE,Leg,Uncommon,RUS+IBA,,"SP +0.12,SO +0.2,",Heelys.png
Repaired Slippers,덧댄 슬리퍼,RSL,Leg,Uncommon,SLP+CLO,,"SR +0.5,SR +30%,SP +0.16,",Repaired Slippers.png
Boots,부츠,BOO,Leg,Rare,RUS+OLC,,"HR +0.6,AS +2%,SP +0.22,",Boots.png
Steel Knee Pads,강철 무릎 보호대,SNP,Leg,Rare,KPA+STE,,"DF +20,SP +0.24,",Steel Knee Pads.png
Maverick Runner,매버릭 러너,MRU,Leg,Rare,HEE+EPA,,"SP +0.25,SO +0.5,AS +15%,",Maverick Runner.png
Combat Boots,전투화,CBB,Leg,Rare,BOO+LEA,,"HR +0.6,AS +7%,SP +0.27,",Combat Boots.png
Killer Heels,킬힐,KHE,Leg,Rare,HHE+GPI,,"AP +5,SR +0.8,SP +0.16,CC +10%,",Killer Heels.png
Straitjacket Sneakers,풍화륜,SSN,Leg,Rare,RSL+ASH,,"SR +0.7,SR +50%,SP +0.35,SA +10,",Straitjacket Sneakers.png
Feather Boots,경량화 부츠,FTB,Leg,Epic,CBB+FEA,,"HR +1,AS +30%,SP +0.4,",Feather Boots.png
Mithril Boots,미스릴 부츠,MIB,Leg,Epic,MIT+CLE,,"DF +22,AS +12%,SP +0.45,",Mithril Boots.png
Bucephalus,부케팔로스,BUC,Leg,Epic,KHE+CLE,,"AP +5,DF +5,CC +17%,SP +0.3,SR +1,",Bucephalus.png
White Rhinos,클링온 부츠,WRH,Leg,Epic,CBB+NAI,,"AS +15%,SP +0.35,HR +0.7,HN -40%,",White Rhinos.png
EOD Boots,EOD 부츠,EOB,Leg,Legendary,BOO+SNP,,"DF +23,SP +0.33,HR +1,",EOD Boots.png
Glacial Shoes,글레이셜 슈즈,GSH,Leg,Legendary,RSL+GIC,,"HR +2,SR +2,SR +60%,SP +0.15,SO +0.5,SA +15,",Glacial Shoes.png
Boots of Hermes,헤르메스의 부츠,BOH,Leg,Legendary,FCO+HEE,,"DF +40,SP +0.4,SO +0.2,",Boots of Hermes.png
Red Shoes,분홍신,RES,Leg,Legendary,KHE+VBS,,"AP +5,SR +1,CC +10%,SP +0.35,LS +15%,",Red Shoes.png
Feather,깃털,FEA,Accessory,Common,,"HS 6,CM 7,FR 7",SP +0.08,Feather.png
Flower,꽃,FLO,Accessory,Common,,"PN 7,UT 7,CM 7,FR 7",CR +9%,Flower.png
Ribbon,리본,RIB,Accessory,Common,,"PN 6,UT 7,SC 7","LS +5%,",Ribbon.png
Fan,부채,FAN,Accessory,Common,,"AV 7,FR 8,CP 6",SA +11,Fan.png
Buddhist Scripture,불경,BSC,Accessory,Common,,TP 8,"SA +7%,",Buddhist Scripture.png
Box,상자,BOX,Accessory,Common,,"DK 7,PN 7,CP 6",MH +90,Box.png
Holy Grail,성배,HGR,Accessory,Common,,CP 9,HR +120%,Holy Grail.png
Cross,십자가,CRS,Accessory,Common,,"AL 7,CP 9",EN +7,Cross.png
Binoculars,쌍안경,BIN,Accessory,Common,,"BC 6,AL 7,HT 6,FT 7","AP +2,VR +1.5",Binoculars.png
Saint's Relic,성자의 유산,SRE,Accessory,Uncommon,CRS+HGR,,"HR +150%,EN +8,",Saint_s Relic.png
Flower of Fate,운명의 꽃,FFA,Accessory,Uncommon,FLO+PCA,,"CC +13%,CR +10%,",Flower of Fate.png
Glass Pieces,유리 조각,GPI,Accessory,Uncommon,GLB+STN,,"CC +13%,",Glass Pieces.png
Doll,인형,DOL,Accessory,Uncommon,RIB+CLO,,"SR +100%,LS +11%,",Doll.png
Sniping Scope,저격 스코프,SSC,Accessory,Uncommon,LAS+BIN,,"AP +6,VR +4,",Sniping Scope.png
Buddha Sarira,진신사리,BSA,Accessory,Uncommon,BSC+MRO,,"CR +10%,SA +7%,",Buddha Sarira.png
Quiver,화살통,QUI,Accessory,Uncommon,LEA+BAM,,"AS +22%,",Quiver.png
Feather Duster,먼지털이개,FDU,Accessory,Uncommon,SRO+FEA,,"AP +9,SP +0.1,",Feather Duster.png
Gilded Quill Fan,군선,GFA,Accessory,Uncommon,FAN+NAI,,"SA +16,HS -40%,",Gilded Quill Fan.png
White Crane Fan,백우선,WFA,Accessory,Rare,GFA+FEA,,"SP +0.1,SA +18,HS -40%,",White Crane Fan.png
Powder of Life,생명의 가루,PLI,Accessory,Rare,TOL+STN,,"HR +1.5,SR +1.5",Powder of Life.png
Uchiwa,우치와,UCH,Accessory,Rare,DOL+FAN,,"SR +100%,LS +15%,SA +21,",Uchiwa.png
Magazine,탄창,MAG,Accessory,Rare,BOX+ISH,,"MH +350,ND +6,",Magazine.png
Laced Quiver,궁기병의 화살통,LQU,Accessory,Rare,QUI+FDU,,"AP +10,AS +25%,SP +0.1",Laced Quiver.png
Moonlight Pendant,달빛 펜던트,MPE,Accessory,Rare,RIB+MST,,"AP +20,LS +20%,",Moonlight Pendant.png
Schrodinger's Box,슈뢰딩거의 상자,SCH,Accessory,Rare,BOX+POI,,"MH +420,SA +7,",Schrodinger_s Box.png
Veritas Lux Mea,진리는 나의 빛,VME,Accessory,Rare,BSA+SRE,,"HR +150%,CR +10%,EN +12,SA +8%,",Veritas Lux Mea.png
Glacial Ice,만년빙,GIC,Accessory,Epic,PLI+ICE,,"HR +1.5,SR +1.5,SA +18,",Glacial Ice.png
True Samadhi Fire,삼매진화,TFI,Accessory,Epic,PLI+LIG,,"HR +1.5,SR +1.5,EN +13,",True Samadhi Fire.png
Emerald Tablet,에메랄드 타블렛,ETA,Accessory,Legendary,FCO+FFA,,"AP +10,DF +10,CC +15%,CR +10%,",Emerald Tablet.png
Stone,돌멩이,STN,Material,Common,,채집,,Stone.png
Glass Bottle,유리병,GLB,Material,Common,,"DK 7,AV 7,CP 6",,Glass Bottle.png
Nail,못,NAI,Material,Common,,"AV 7,AR 6,FT 7",,Nail.png
Leather,가죽,LEA,Material,Common,,사냥,,Leather.png
Turtle Shell,거북이 등딱지,TTS,Material,Common,,"DK 7,PN 7,BC 6",,Turtle Shell.png
Rubber,고무,RUB,Material,Common,,"DK 8,AL 7,AR 5",,Rubber.png
Scrap Metal,고철,SCM,Material,Common,,"DK 8,HT 8,HS 6,FT 9",,Scrap Metal.png
Lighter,라이터,LIG,Material,Common,,"DK 8,AL 8,FT 8,SC 7",,Lighter.png
Laser Pointer,레이저 포인터,LAS,Material,Common,,"UT 6,HS 6,SC 6",,Laser Pointer.png
Stallion Medal,마패,STM,Material,Common,,"BC 6,AL 7,TP 7",,Stallion Medal.png
Battery,배터리,BAT,Material,Common,,"DK 7,AV 7,FT 9",,Battery.png
Alcohol,알코올,ALC,Material,Common,,"HS 4,FT 6,SC 5",,Alcohol.png
Oil,오일,OIL,Material,Common,,"UT 7,AV 7,AR 5,FT 7",,Oil.png
Cloth,옷감,CLO,Material,Common,,"HT 7,AV 7,TP 7",,Cloth.png
Gemstone,원석,GEM,Material,Common,,"PN 8,BC 7,TP 8,FR 8",,Gemstone.png
Glue,접착제,GLU,Material,Common,,"AL 7,HS 6,FT 7",,Glue.png
Paper,종이,PAP,Material,Common,,"TP 7,AR 5,CP 6",,Paper.png
Iron Ore,철광석,IRO,Material,Common,,"HT 7,CM 7,FR 7",,Iron Ore.png
Can,캔,CAN,Material,Common,,"BC 4,AV 6,SC 5",,Can.png
Gunpowder,화약,GUN,Material,Common,,"TP 7,AR 6,CM 7",,Gunpowder.png
Deleted2,고장난 노트북,DEL,Deleted,Common,,,,Deleted2.png
Steel,강철,STE,Material,Uncommon,SCM+IRO+2,,,Steel.png
Oilcloth,기름먹인 천,OLC,Material,Uncommon,OIL+BAN+2,,,Oilcloth.png
Heated Oil,뜨거운 오일,HOL,Material,Uncommon,OIL+LIG+3,,,Heated Oil.png
Ruby,루비,RBY,Material,Uncommon,GEM+HAM,,,Ruby.png
Dead Battery,방전 전지,DBT,Material,Uncommon,BAT+WAT+2,,,Dead Battery.png
White Powder,백색 가루,WPW,Material,Uncommon,CHL+STN,,,White Powder.png
Heated Stone,달궈진 돌멩이,HST,Material,Uncommon,STN+LIG+3,,,Heated Stone.png
Meteorite,운석,MET,Material,Uncommon,,사냥,,Meteorite.png
Ash,재,ASH,Material,Uncommon,PAP+LIG,,,Ash.png
Electronic Parts,전자 부품,EPA,Material,Uncommon,PWR+BAT,,,Electronic Parts.png
Blueprint,정교한 도면,BPR,Material,Uncommon,FPE+PAP,,,Blueprint.png
Iron Sheet,철판,ISH,Material,Uncommon,SCM+PAP+2,,,Iron Sheet.png
Gold,황금,GLD,Material,Uncommon,GEM+PIC,,,Gold.png
Tree of Life,생명의 나무,TOL,Material,Rare,,채집,,Tree of Life.png
Moon Stone,문스톤,MST,Material,Rare,MET+STN,,,Moon Stone.png
Poison,독약,POI,Material,Rare,ASH+WAT,,,Poison.png
Motorcycle Helmet,모터,MOT,Material,Rare,EPA+SCM,,,Motorcycle Helmet.png
Mithril,미스릴,MIT,Material,Rare,,사냥,,Mithril.png
Glass Panel,유리판,GLP,Material,Rare,GPI+GLU,,,Glass Panel.png
Ion Battery,이온 전지,ION,Material,Rare,DBT+CWA+2,,,Ion Battery.png
VF Blood Sample,VF 혈액 샘플,VBS,Material,Rare,,사냥,,VF Blood Sample.png
Deleted3,방전된 노트북,DEL,Deleted,Rare,,,,Deleted3.png
Cell Phone,휴대폰,CEL,Material,Rare,BPR+EPA,,,Cell Phone.png
Force Core,포스 코어,FCO,Material,Epic,PLI+MET,사냥,,Force Core.png
Potato,감자,POT,Food,Common,,채집,HR +130,Potato.png
Cod,대구,COD,Food,Common,,채집,HR +130,Cod.png
Lemon,레몬,LEM,Food,Common,,"UT 5,HT 6,HS 4",HR +150,Lemon.png
Garlic,마늘,GAR,Food,Common,,"AL 6,TP 6,CM 5",HR +100,Garlic.png
Adhesive Bandage,반창고,ADB,Food,Common,,HS 4,HR +200,Adhesive Bandage.png
Carp,붕어,CRP,Food,Common,,채집,HR +130,Carp.png
Bread,빵,BRD,Food,Common,,"DK 4,CP 4,SC 6",HR +200,Bread.png
Meat,고기,MEA,Food,Common,,채집,HR +200,Meat.png
Egg,달걀,EGG,Food,Common,,"AR 5,CM 5,FR 6",HR +200,Egg.png
Ramen,생라면,RAM,Food,Common,,"DK 6,AL 6,AR 5",HR +200,Ramen.png
Oriental Herb,약초,HER,Food,Common,,"PN 7,TP 6,FR 6",HR +200,Oriental Herb.png
Chocolate,초콜렛,CHO,Food,Common,,"UT 5,AV 6,AR 4",HR +200,Chocolate.png
Curry Powder,카레 가루,CPW,Food,Common,,"UT 5,FT 5",HR +200,Curry Powder.png
Honey Cod Steak,꿀 바른 대구살,HCS,Food,Uncommon,COD+HNY,,HR +700,Honey Cod Steak.png
Canned Cod Liver,대구 간 통조림,CCL,Food,Uncommon,COD+CAN,,HR +650,Canned Cod Liver.png
Garlic Bread,마늘빵,GBR,Food,Uncommon,BRD+GAR+2,,HR +200,Garlic Bread.png
Butter,버터,BUT,Food,Uncommon,MLK+BRA,,HR +450,Butter.png
Herb Medicine,보약,HMD,Food,Uncommon,HER+TTS,,HR +650,Herb Medicine.png
Carp Bread,붕어빵,CBR,Food,Uncommon,BRD+CRP+2,,HR +400,Carp Bread.png
Holy Water,성수,OWA,Food,Uncommon,,,HR +600,Holy Water.png
Disinfectant,지혈제,DIF,Food,Uncommon,ALC+ADB,,HR +600,Disinfectant.png
Choco Pie,초코파이,CHP,Food,Uncommon,BRD+CHO,,HR +600,Choco Pie.png
Acupuncture Needle,한방침,ACN,Food,Uncommon,NEE+ALC,,HR +800,Acupuncture Needle.png
Orchid,난초,ORC,Food,Uncommon,HER+FLO+2,,HR +500,Orchid.png
Tandoori Chicken,탄두리,TCH,Food,Uncommon,CPW+MEA,,HR +600,Tandoori Chicken.png
Bacon and Garlic Stick,마늘 베이컨 말이,BGS,Food,Uncommon,GAR+MEA,,HR +650,Bacon and Garlic Sticks.png
Bun,번,BUN,Food,Uncommon,BRD+COF,,HR +600,Bun.png
Hamburger,햄버거,HBG,Food,Uncommon,BRE+MEA,,HR +600,Hamburger.png
Potato Bread,감자빵,PBR,Food,Uncommon,BRE+POT+2,,HR +360,Potato Bread.png
Potato Soup,감자스프,PSP,Food,Uncommon,POT+MLK,,HR +600,Potato Soup.png
Fish Fillet with Egg,달걀 생선 필레,FFE,Food,Uncommon,COD+EGG,,HR +700,Fish Fillet with Egg.png
Citrus Cake,시트러스 케이크,CCK,Food,Uncommon,BRE+LEM+2,,HR +360,Citrus Cake.png
Lemon Ice Cream,레몬 아이스크림,LIC,Food,Uncommon,LEM+EGG+3,,HR +500,Lemon Ice Cream.png
Honey Garlic Pickle,마늘 꿀절임,HGP,Food,Uncommon,GAR+HNY+3,,HR +480,Honey Garlic Pickle.png
Egg Bun,계란빵,EBN,Food,Uncommon,BRD+EGG+2,,HR +400,Egg Bun.png
Easter Egg,이스터 에그,EEG,Food,Uncommon,BRD+CHO,,HR +600,Easter Egg.png
Whiskey Bonbon,위스키 봉봉,WHB,Food,Uncommon,WHS+CHO+3,,HR +400,Whiskey Bonbon.png
Choco Ice Cream,초코 아이스크림,CIC,Food,Uncommon,ICE+CHO+2,,HR +550,Choco Ice Cream.png
Curry Bun,카레빵,CBN,Food,Uncommon,CPW+BRD+2,,HR +360,Curry Bun.png
French Fries,감자튀김,FFR,Food,Rare,POT+HOL,,HR +600,French Fries.png
Baked Potato,구운 감자,BPT,Food,Rare,POT+HST+2,,HR +600,Baked Potato.png
Baked Carp,구운 붕어,BCP,Food,Rare,CRP+HST+2,,HR +600,Baked Carp.png
Grilled Chilean Sea Bass,메로구이,GCB,Food,Rare,COD+HST+3,,HR +480,Grilled Chilean Sea Bass.png
Hot Ramen,뜨거운 라면,HRA,Food,Rare,RAM+BWA+2,,HR +550,Hot Ramen.png
Mocha Bread,모카빵,MBR,Food,Rare,BRD+CFL+2,,HR +700,Mocha Bread.png
Scrambled Eggs,스크램블 에그,SCE,Food,Rare,EGG+HOL+2,,HR +550,Scrambled Eggs.png
Chocolate Chip Cookies,초코칩 쿠키,CCC,Food,Rare,CHO+BUT+2,,HR +733,Chocolate Chip Cookies.png
Choco Pie Box,초코파이 상자,CPB,Food,Rare,CHP+BOX+2,,HR +733,Choco Pie Box.png
Curry,카레,CRY,Food,Rare,CPW+BWA+3,,HR +480,Curry.png
Oriental Concoction,탕약,ORI,Food,Rare,HER+BWA+2,,HR +600,Oriental Concoction.png
Honey Butter,허니버터,HBT,Food,Rare,BUT+HNY+2,,HR +650,Honey Butter.png
Fried Chicken,후라이드 치킨,FCH,Food,Rare,MEA+HOL+2,,HR +510,Fried Chicken.png
Healing Potion,힐링 포션,HPO,Food,Rare,ORC+GLB+2,,HR +700,Healing Potion.png
Boiled Egg,삶은 달걀,BEG,Food,Rare,EGG+BWA+2,,HR +600,Boiled Egg.png
Pound Cake,파운드 케이크,PCK,Food,Rare,BUT+BRD+2,,HR +600,Pound Cake.png
Curry Croquette,카레 고로케,CCQ,Food,Rare,CPW+HOL+2,,HR +550,Curry Croquette.png
Steak,스테이크,STK,Food,Rare,MEA+HST+4,,HR +420,Steak.png
First Aid Kit,구급상자,FAK,Food,Rare,DIF+BAN,,HR +950,First Aid Kit.png
Butter-Fried Potatoes,버터 감자구이,BFP,Food,Rare,POT+BUT+2,,HR +650,Butter-Fried Potatoes.png
Fish Cutlet,생선까스,FCT,Food,Rare,COD+HOL,,HR +700,Fish Cutlet.png
Stir Fried Ramen,볶음라면,STR,Food,Rare,RAM+HOL+2,,HR +550,Stir Fried Ramen.png
Cold Noodles,냉면,CND,Food,Rare,RAM+IWA+2,,HR +650,Cold Noodles.png
Garlic Ramen,마늘라면,GRA,Food,Rare,HRA+GAR+2,,HR +700,Garlic Ramen.png
Spicy Fish Stew,매운탕,SFS,Food,Rare,CRP+HWA+2,,HR +550,Spicy Fish Stew.png
Zen Vitality,대환단,ZVI,Food,Rare,ACN+HMD+2,,HR +850,Zen Vitality.png
Fish and Chips,피쉬 앤 칩스,FAC,Food,Epic,FCT+FFR+2,,HR +900,Fish and Chips.png
Honey,꿀,HNY,Bevarage,Common,,"AL 5,AV 6,FR 6",SR +250,Honey.png
Water,물,WAT,Bevarage,Common,,채집,SR +100,Water.png
Ice,얼음,ICE,Bevarage,Common,,"HT 7,HS 6,CM 5",SR +200,Ice.png
Whiskey Bonbon,위스키,WHS,Bevarage,Common,,"UT 5,HT 5,CP 4",SR +450,Whiskey Bonbon.png
Coffee,커피콩,COF,Bevarage,Common,,"DK 6,UT 5,CM 5",SR +380,Coffee.png
Carbonated Water,탄산수,CWA,Bevarage,Common,,"BC 5,UT 5,HT 5",SR +380,Carbonated Water.png
Milk,우유,MLK,Bevarage,Common,,"AV 6,HS 5,CP 3",SR +200,Milk.png
Boiling Water,뜨거운 물,BWA,Bevarage,Uncommon,WAT+LIG+3,,SR +200,Boiling Water.png
Lemonade,레몬에이드,LMD,Bevarage,Uncommon,CWA+LEM+4,,SR +300,Lemonade.png
